eleve_id,niveau_actuel,notes_n2,notes_n1,notes_actuelle,annee_partielle,tendance_notes,serie,riasec_R,riasec_I,riasec_A,riasec_S,riasec_E,riasec_C,moyenne_generale,filiere_choisie,score_60_40,match_riasec,ecart_notes_seuil,nb_consultations,en_favori,score_similarite_recherche,statut,satisfaction
19,BAC_2,12.49,11.74,11.71,False,-0.392,C,0.479,1.0,0.678,0.819,0.907,0.792,11.98,Communication,0.799,0.866,1.98,7,True,0.744,ADMIS,4
20,BAC_1,6.14,9.23,7.32,True,0.589,C,0.396,0.513,0.928,1.0,0.309,0.383,7.56,Communication,0.669,0.944,-2.44,2,True,0.869,ADMIS,4
21,BAC_1,15.76,16.13,12.2,True,-1.783,D,1.0,0.367,0.826,0.323,0.812,0.61,14.7,Gestion_Commerce,0.846,0.764,4.7,4,True,0.93,ADMIS,4
22,LYCEE_2ND,15.85,13.62,14.49,False,-0.68,NA,0.711,0.352,0.794,1.0,0.022,0.712,14.65,Lettres,0.0,0.825,4.65,1,False,0.27,ADMIS,5
23,BAC_2,11.62,11.34,12.17,True,0.276,G,0.527,0.646,0.016,1.0,0.654,0.512,11.71,Agronomie,0.745,0.861,0.71,10,True,0.893,ADMIS,4
24,BAC_2,11.19,12.27,12.57,True,0.691,G,0.648,0.524,1.0,0.954,0.672,0.989,12.01,Lettres,0.804,0.872,2.01,8,False,0.728,ADMIS,4
25,BAC_3,6.0,6.41,8.91,True,1.456,G,1.0,0.97,0.073,0.14,0.31,0.563,7.11,Agronomie,0.621,0.961,-3.89,8,False,0.688,ADMIS,4
26,LYCEE_1ERE,12.66,12.14,12.7,False,0.022,C,0.172,1.0,0.945,0.827,0.551,0.522,12.5,Lettres,0.878,0.964,2.5,10,True,0.798,ADMIS,3
27,LYCEE_TLE,12.24,11.29,12.59,True,0.178,E,0.674,0.813,0.859,0.229,1.0,0.474,12.04,Communication,0.78,0.83,2.04,7,True,0.824,ADMIS,5
28,BAC_2,10.54,11.36,12.02,False,0.736,C,0.619,0.794,0.561,1.0,0.462,0.713,11.31,Communication,0.754,0.837,1.31,9,False,0.784,ADMIS,5
29,BAC_3,14.92,14.8,14.58,False,-0.171,C,0.783,0.027,0.457,1.0,0.697,0.507,14.77,Communication,0.868,0.795,4.77,8,False,0.791,ADMIS,3
30,BAC_2,14.54,13.65,14.61,True,0.038,E,0.139,0.775,0.116,0.391,1.0,0.193,14.27,Gestion_Commerce,0.879,0.848,4.27,8,True,0.799,ADMIS,3
31,BAC_2,12.14,13.42,12.94,True,0.397,E,1.0,0.507,0.392,0.912,0.976,0.598,12.83,Gestion_Commerce,0.816,0.838,2.83,7,False,0.879,REORIENTE,1
32,LYCEE_1ERE,14.75,14.98,14.48,False,-0.135,E,0.144,0.104,0.214,0.213,1.0,0.484,14.74,Lettres,0.687,0.496,4.74,6,False,0.765,ADMIS,4
33,LYCEE_TLE,13.56,15.7,17.44,True,1.941,D,0.756,0.074,0.001,0.237,1.0,0.723,15.57,Gestion_Commerce,0.921,0.868,5.57,5,False,0.839,ADMIS,2
34,LYCEE_2ND,14.42,13.93,13.17,False,-0.625,NA,0.855,0.757,0.823,0.528,1.0,0.044,13.84,Droit,0.0,0.713,1.84,0,False,0.285,ADMIS,4
35,BAC_1,12.69,10.98,10.33,False,-1.182,A,0.371,0.223,0.119,1.0,0.68,0.414,11.33,Gestion_Commerce,0.761,0.846,1.33,10,False,0.745,ADMIS,5
36,LYCEE_TLE,12.28,14.84,15.22,False,1.468,G,0.851,0.007,0.057,1.0,0.827,0.039,14.11,Gestion_Commerce,0.775,0.684,4.11,11,False,0.542,ADMIS,2
37,LYCEE_TLE,11.47,12.93,12.95,False,0.737,A,0.909,0.958,0.325,0.347,1.0,0.027,12.45,Gestion_Commerce,0.708,0.683,2.45,4,False,1.0,ADMIS,5
38,COLLEGE,15.5,12.99,12.46,False,-1.521,NA,0.754,0.322,0.965,0.048,1.0,0.895,13.65,Genie_Civil,0.0,0.801,0.65,0,False,0.341,ADMIS,5
39,BAC_3,10.47,7.75,9.9,False,-0.285,C,0.196,0.297,1.0,0.098,0.899,0.734,9.37,Communication,0.68,0.842,-0.63,9,False,0.658,ADMIS,4
40,BAC_3,13.79,13.56,13.04,False,-0.378,C,0.054,0.168,0.069,0.214,0.623,1.0,13.46,Gestion_Commerce,0.878,0.899,3.46,8,True,0.815,ADMIS,4
41,LYCEE_TLE,12.56,15.19,12.11,True,-0.224,G,0.82,0.806,0.711,0.113,1.0,0.384,13.29,Communication,0.784,0.754,3.29,9,False,0.849,ADMIS,2
42,BAC_3,13.13,12.15,11.79,True,-0.668,C,0.116,1.0,0.162,0.207,0.305,0.554,12.35,Informatique,0.728,0.857,0.35,4,True,0.688,ADMIS,4
43,LYCEE_TLE,6.66,9.62,10.79,True,2.063,C,0.254,0.821,1.0,0.535,0.691,0.932,9.03,Communication,0.695,0.889,-0.97,9,False,0.724,ADMIS,4
44,LYCEE_1ERE,13.94,14.09,11.38,True,-1.281,A,1.0,0.424,0.879,0.718,0.202,0.185,13.14,Lettres,0.808,0.804,3.14,7,False,0.588,REORIENTE,3
45,LYCEE_1ERE,13.43,12.65,14.47,False,0.523,C,0.488,0.877,0.653,0.702,1.0,0.419,13.52,Lettres,0.842,0.836,3.52,5,False,0.826,ADMIS,4
46,BAC_2,12.81,10.89,12.96,False,0.079,E,0.262,0.058,1.0,0.353,0.714,0.876,12.22,Communication,0.802,0.856,2.22,11,True,0.804,ADMIS,3
47,BAC_1,10.4,12.93,10.27,False,-0.067,C,1.0,0.095,0.418,0.887,0.288,0.798,11.2,Agronomie,0.708,0.834,0.2,7,False,0.768,ADMIS,5
48,LYCEE_1ERE,11.9,11.91,8.57,False,-1.667,A,1.0,0.741,0.663,0.776,0.555,0.497,10.8,Lettres,0.716,0.808,0.8,9,False,0.729,REORIENTE,2
49,LYCEE_TLE,10.68,8.8,8.28,True,-1.2,C,0.202,0.946,0.31,0.182,0.293,1.0,9.25,Gestion_Commerce,0.585,0.691,-0.75,8,False,0.736,REORIENTE,1
50,BAC_1,9.77,13.02,14.63,False,2.431,D,1.0,0.53,0.57,0.649,0.795,0.077,12.47,Agronomie,0.797,0.897,1.47,5,False,0.558,ADMIS,5
51,BAC_3,13.15,13.34,14.85,False,0.849,C,0.289,0.252,0.265,0.586,1.0,0.997,13.78,Gestion_Commerce,0.939,0.979,3.78,7,False,0.66,ADMIS,4
52,BAC_1,10.91,12.11,11.2,False,0.145,A,0.482,0.27,1.0,0.419,0.099,0.084,11.41,Lettres,0.792,0.893,1.41,6,True,0.892,ADMIS,4
53,LYCEE_TLE,7.64,9.4,8.38,True,0.371,D,0.753,0.958,1.0,0.878,0.127,0.586,8.47,Lettres,0.692,0.922,-1.53,8,True,0.603,REORIENTE,3
54,BAC_2,8.58,10.18,10.31,False,0.867,C,0.526,0.322,1.0,0.756,0.381,0.18,9.69,Communication,0.756,0.947,-0.31,10,True,0.95,ADMIS,4
55,LYCEE_2ND,12.87,13.72,15.04,True,1.083,NA,1.0,0.553,0.16,0.173,0.777,0.054,13.87,Droit,0.0,0.601,1.87,0,False,0.243,ADMIS,2
56,COLLEGE,10.58,10.11,8.89,False,-0.844,NA,0.306,0.563,0.486,1.0,0.466,0.655,9.86,Droit,0.0,0.919,-2.14,0,False,0.243,ADMIS,4
57,BAC_1,11.69,9.61,11.62,False,-0.036,E,0.29,0.803,0.645,0.947,1.0,0.043,10.97,Communication,0.782,0.906,0.97,2,False,0.798,REORIENTE,3
58,BAC_1,13.3,15.75,17.12,False,1.911,G,0.274,0.443,0.046,0.576,0.294,1.0,15.39,Droit,0.89,0.924,3.39,6,True,0.628,ADMIS,4
59,LYCEE_1ERE,12.04,11.29,9.42,False,-1.314,D,0.015,1.0,0.285,0.043,0.117,0.259,10.92,Lettres,0.673,0.728,0.92,10,True,0.904,ADMIS,3
60,BAC_1,13.88,13.97,13.21,False,-0.331,A,0.899,0.933,0.703,1.0,0.114,0.322,13.69,Lettres,0.851,0.84,3.69,9,True,0.775,ADMIS,4
61,BAC_1,13.94,14.36,13.72,False,-0.107,C,1.0,0.124,0.607,0.776,0.063,0.643,14.01,Agronomie,0.806,0.81,3.01,7,False,0.688,ADMIS,3
62,BAC_3,7.57,7.93,8.15,False,0.29,C,1.0,0.095,0.055,0.927,0.481,0.929,7.88,Agronomie,0.577,0.836,-3.12,4,False,0.704,REORIENTE,3
63,BAC_3,9.64,9.25,8.04,True,-0.801,C,0.123,0.748,0.168,1.0,0.676,0.963,8.98,Gestion_Commerce,0.678,0.865,-1.02,9,False,0.669,REORIENTE,2
64,BAC_2,14.29,10.42,13.48,True,-0.406,G,1.0,0.623,0.642,0.577,0.429,0.69,12.73,Agronomie,0.832,0.939,1.73,10,False,0.86,ADMIS,5
65,LYCEE_TLE,17.44,13.37,13.61,False,-1.914,D,0.095,0.234,0.095,1.0,0.396,0.994,14.81,Gestion_Commerce,0.875,0.805,4.81,6,False,0.721,ADMIS,4
66,LYCEE_TLE,12.98,12.88,15.41,False,1.213,A,1.0,0.69,0.153,0.796,0.972,0.272,13.76,Gestion_Commerce,0.811,0.768,3.76,7,False,0.77,ADMIS,5
67,BAC_3,12.76,13.82,14.45,False,0.846,C,1.0,0.906,0.2,0.44,0.982,0.125,13.68,Agronomie,0.865,0.931,2.68,6,True,0.781,ADMIS,4
68,BAC_1,8.79,10.49,11.3,True,1.256,D,0.832,0.911,0.812,1.0,0.791,0.68,10.19,Lettres,0.725,0.861,0.19,11,True,0.853,ADMIS,4
69,BAC_2,13.33,13.04,15.49,True,1.081,E,0.116,0.635,1.0,0.419,0.053,0.963,13.95,Lettres,0.903,0.908,3.95,4,True,0.882,ADMIS,4
70,BAC_3,13.69,13.88,13.92,True,0.115,B,1.0,0.988,0.908,0.691,0.679,0.7,13.83,Agronomie,0.864,0.918,2.83,7,True,0.775,ADMIS,5
71,BAC_2,12.04,14.48,10.97,False,-0.536,D,0.607,0.398,0.041,0.1,0.658,1.0,12.5,Agronomie,0.749,0.815,1.5,9,True,0.663,ADMIS,5
72,BAC_3,9.63,8.06,6.31,False,-1.659,C,0.886,0.606,1.0,0.042,0.191,0.815,8.0,Agronomie,0.55,0.784,-3.0,8,True,0.897,REORIENTE,2
73,BAC_1,14.59,15.57,13.8,False,-0.394,C,0.954,0.23,0.83,0.881,0.666,1.0,14.65,Communication,0.875,0.815,4.65,8,False,0.868,ADMIS,4
74,BAC_1,15.83,15.11,18.01,False,1.091,D,0.613,0.577,1.0,0.912,0.417,0.979,16.32,Lettres,0.937,0.894,6.32,10,False,0.914,ADMIS,4
75,BAC_3,11.9,13.49,9.55,True,-1.173,C,0.252,0.141,0.868,0.228,0.508,1.0,11.64,Communication,0.736,0.783,1.64,9,False,0.907,REORIENTE,3
76,BAC_1,16.44,15.72,12.79,True,-1.826,A,0.255,0.821,0.949,0.092,1.0,0.904,14.99,Gestion_Commerce,0.902,0.838,4.99,9,False,0.761,ADMIS,4
77,BAC_1,15.4,15.46,15.2,False,-0.1,D,0.946,0.39,0.846,0.076,0.748,1.0,15.35,Gestion_Commerce,0.854,0.757,5.35,10,True,0.588,ADMIS,5
78,BAC_3,15.08,15.33,17.78,True,1.355,G,0.91,0.573,0.271,1.0,0.906,0.273,16.06,Agronomie,0.939,0.898,5.06,7,False,0.698,ADMIS,4
79,LYCEE_TLE,13.65,14.44,15.2,False,0.772,A,0.446,0.133,0.441,0.598,1.0,0.039,14.43,Communication,0.876,0.831,4.43,5,True,0.738,ADMIS,4
80,LYCEE_TLE,13.17,12.76,14.6,False,0.715,G,0.15,1.0,0.38,0.651,0.971,0.058,13.51,Gestion_Commerce,0.802,0.769,3.51,7,False,0.641,ADMIS,3
81,LYCEE_2ND,13.66,14.64,14.63,True,0.484,NA,0.248,0.011,1.0,0.225,0.826,0.171,14.31,Medecine,0.0,0.338,-0.69,0,False,0.177,REORIENTE,2
82,LYCEE_TLE,14.55,15.0,11.68,True,-1.434,B,0.012,0.256,0.942,0.822,1.0,0.104,13.74,Communication,0.928,0.964,3.74,9,False,0.944,ADMIS,5
83,BAC_1,7.7,11.81,11.79,True,2.042,D,0.483,0.669,0.215,1.0,0.1,0.847,10.43,Agronomie,0.662,0.808,-0.57,9,False,0.761,ADMIS,4
84,LYCEE_2ND,14.49,13.84,15.0,False,0.253,NA,0.258,0.234,1.0,0.717,0.627,0.005,14.44,Droit,0.0,0.641,2.44,10,False,0.823,ADMIS,3
85,BAC_1,11.86,12.67,12.98,True,0.56,G,0.28,1.0,0.11,0.731,0.883,0.693,12.5,Gestion_Commerce,0.82,0.866,2.5,10,False,0.856,ADMIS,5
86,LYCEE_1ERE,15.98,14.92,15.13,True,-0.427,C,0.567,0.953,0.907,0.95,0.881,1.0,15.34,Lettres,0.929,0.882,5.34,4,False,0.839,ADMIS,5
87,LYCEE_1ERE,13.28,14.93,11.61,False,-0.838,D,0.137,0.73,1.0,0.452,0.955,0.104,13.27,Lettres,0.859,0.881,3.27,5,False,0.824,ADMIS,3
88,LYCEE_1ERE,14.37,16.87,14.02,False,-0.173,D,0.87,1.0,0.139,0.273,0.111,0.875,15.09,Lettres,0.766,0.609,5.09,7,False,0.819,ADMIS,4
89,BAC_3,10.62,12.21,12.43,False,0.905,E,0.994,0.988,0.7,1.0,0.449,0.004,11.75,Agronomie,0.757,0.878,0.75,5,False,1.0,ADMIS,4
90,BAC_3,11.4,11.64,11.08,False,-0.163,C,0.386,0.35,0.977,0.612,1.0,0.326,11.37,Communication,0.829,0.958,1.37,3,True,0.714,ADMIS,4
91,BAC_2,13.84,13.31,13.41,False,-0.219,D,1.0,0.59,0.651,0.395,0.128,0.811,13.52,Agronomie,0.839,0.896,2.52,10,False,0.812,ADMIS,3
92,BAC_3,11.11,11.51,9.95,False,-0.578,G,0.74,0.836,0.396,0.087,1.0,0.138,10.85,Agronomie,0.706,0.853,-0.15,3,False,0.79,ADMIS,3
93,BAC_1,10.49,12.76,12.25,False,0.883,E,0.793,0.066,0.234,0.078,0.664,1.0,11.83,Gestion_Commerce,0.745,0.786,1.83,10,False,0.765,ADMIS,4
94,LYCEE_1ERE,14.03,15.25,12.69,False,-0.673,D,0.581,1.0,0.465,0.284,0.146,0.74,13.99,Lettres,0.835,0.793,3.99,4,False,0.826,ADMIS,5
95,LYCEE_TLE,13.18,10.73,13.21,False,0.013,D,0.436,0.167,0.572,0.093,0.95,1.0,12.38,Gestion_Commerce,0.836,0.902,2.38,9,False,0.692,ADMIS,4
96,BAC_2,10.19,9.66,11.66,False,0.733,C,0.996,0.008,0.363,0.947,1.0,0.781,10.5,Gestion_Commerce,0.728,0.846,0.5,8,False,0.799,ADMIS,4
97,BAC_2,13.45,16.49,15.45,False,0.997,E,0.459,1.0,0.485,0.668,0.001,0.755,15.13,Agronomie,0.856,0.818,4.13,8,True,0.708,ADMIS,3
98,LYCEE_1ERE,14.17,11.76,13.94,False,-0.112,D,0.895,0.257,0.666,0.174,0.342,1.0,13.29,Lettres,0.729,0.663,3.29,3,False,0.858,ADMIS,4
99,BAC_2,15.8,15.1,15.97,False,0.085,A,0.374,0.544,0.393,0.472,1.0,0.313,15.63,Gestion_Commerce,0.947,0.911,5.63,11,False,0.72,ADMIS,4
100,LYCEE_1ERE,13.69,12.87,13.88,True,0.092,B,0.254,0.737,0.368,0.691,1.0,0.677,13.48,Lettres,0.793,0.757,3.48,10,True,0.808,ADMIS,5
101,BAC_2,15.07,15.03,13.94,True,-0.564,C,0.453,0.288,1.0,0.346,0.245,0.36,14.68,Lettres,0.938,0.917,4.68,7,False,0.707,ADMIS,3
102,LYCEE_1ERE,16.38,16.19,11.58,True,-2.4,A,0.365,1.0,0.646,0.401,0.041,0.63,14.72,Lettres,0.923,0.89,4.72,10,False,0.733,ADMIS,4
103,BAC_2,11.25,10.99,11.29,False,0.017,E,1.0,0.259,0.738,0.787,0.973,0.943,11.18,Communication,0.73,0.806,1.18,7,True,0.733,ADMIS,2
104,LYCEE_TLE,12.24,12.57,12.68,False,0.222,A,0.315,0.074,1.0,0.649,0.427,0.838,12.5,Communication,0.832,0.887,2.5,3,True,0.661,ADMIS,4
105,LYCEE_TLE,13.12,14.53,13.4,False,0.14,C,0.05,0.661,1.0,0.57,0.064,0.504,13.68,Lettres,0.939,0.986,3.68,11,False,0.713,ADMIS,5
106,LYCEE_TLE,10.58,10.16,13.68,True,1.55,D,0.05,1.0,0.356,0.859,0.808,0.821,11.47,Gestion_Commerce,0.777,0.864,1.47,5,False,0.743,ADMIS,3
107,LYCEE_TLE,9.34,7.45,8.78,True,-0.279,A,1.0,0.021,0.439,0.753,0.96,0.748,8.52,Gestion_Commerce,0.646,0.842,-1.48,9,False,0.744,ADMIS,4
108,LYCEE_TLE,11.21,13.2,12.27,False,0.527,D,0.629,0.762,0.497,0.251,1.0,0.399,12.23,Communication,0.751,0.77,2.23,5,True,0.676,ADMIS,3
109,BAC_3,13.65,12.52,11.49,False,-1.081,D,0.07,0.6,1.0,0.957,0.107,0.4,12.55,Lettres,0.881,0.965,2.55,7,True,0.813,ADMIS,3
110,BAC_3,15.48,15.62,17.55,True,1.038,G,1.0,0.191,0.765,0.562,0.033,0.225,16.22,Agronomie,0.871,0.785,5.22,10,True,0.644,ADMIS,4
111,BAC_1,13.74,13.45,11.19,False,-1.277,C,1.0,0.564,0.392,0.707,0.603,0.137,12.79,Agronomie,0.835,0.939,1.79,5,False,0.67,ADMIS,3
112,LYCEE_2ND,12.89,12.77,11.44,False,-0.725,NA,0.867,0.309,0.764,1.0,0.199,0.432,12.36,Informatique,0.0,0.687,0.36,8,False,0.988,REORIENTE,2
113,LYCEE_TLE,12.36,10.24,10.82,False,-0.768,D,0.335,0.585,1.0,0.584,0.668,0.079,11.14,Communication,0.826,0.967,1.14,5,False,0.922,ADMIS,3
114,LYCEE_TLE,14.39,13.51,14.75,False,0.182,C,0.954,0.801,0.89,0.387,1.0,0.153,14.22,Communication,0.86,0.819,4.22,5,False,0.839,ADMIS,4
115,COLLEGE,10.76,8.15,10.55,False,-0.104,NA,1.0,0.078,0.497,0.228,0.577,0.309,9.82,Medecine,0.0,0.503,-5.18,1,False,0.083,REORIENTE,2
116,BAC_2,12.99,10.77,10.37,False,-1.31,G,0.299,0.8,0.564,0.621,1.0,0.663,11.38,Gestion_Commerce,0.804,0.915,1.38,3,True,0.715,ADMIS,4
117,LYCEE_TLE,12.09,11.14,11.48,False,-0.306,C,1.0,0.51,0.643,0.162,0.812,0.265,11.57,Communication,0.695,0.72,1.57,5,True,0.781,ADMIS,4
118,BAC_2,16.44,13.81,15.15,False,-0.643,A,0.245,1.0,0.425,0.187,0.233,0.663,15.13,Lettres,0.886,0.81,5.13,4,False,0.986,ADMIS,4
119,LYCEE_1ERE,14.04,13.23,14.42,False,0.187,G,0.218,1.0,0.608,0.085,0.066,0.075,13.9,Lettres,0.856,0.834,3.9,8,False,0.711,ADMIS,4
120,BAC_1,15.67,16.03,16.5,True,0.414,A,0.219,0.599,0.064,0.806,0.913,1.0,16.07,Gestion_Commerce,0.962,0.937,6.07,7,True,0.723,ADMIS,5
121,LYCEE_1ERE,10.59,13.11,9.93,False,-0.329,D,0.674,1.0,0.761,0.121,0.486,0.602,11.21,Lettres,0.747,0.832,1.21,4,False,0.593,ADMIS,5
122,BAC_2,10.34,11.06,10.13,True,-0.107,B,0.975,1.0,0.936,0.024,0.342,0.587,10.51,Informatique,0.696,0.927,-1.49,4,False,0.754,ADMIS,3
123,BAC_2,9.77,7.8,8.57,False,-0.598,C,0.325,0.331,0.045,0.345,0.963,1.0,8.71,Gestion_Commerce,0.722,0.955,-1.29,6,True,0.784,ADMIS,4
124,COLLEGE,9.31,7.65,10.82,False,0.753,NA,0.511,0.675,0.553,0.245,0.854,1.0,9.26,Medecine,0.0,0.78,-5.74,2,False,0.128,REORIENTE,2
125,BAC_1,10.48,9.65,7.45,True,-1.513,G,1.0,0.108,0.272,0.359,0.481,0.496,9.19,Agronomie,0.668,0.9,-1.81,9,False,0.787,REORIENTE,2
126,LYCEE_1ERE,14.01,15.53,14.33,False,0.158,D,1.0,0.412,0.849,0.625,0.653,0.117,14.62,Lettres,0.848,0.771,4.62,11,False,0.692,ADMIS,4
127,BAC_2,11.22,12.63,10.5,False,-0.364,A,0.632,0.657,0.346,1.0,0.186,0.416,11.45,Lettres,0.726,0.78,1.45,11,False,0.613,ADMIS,2
128,BAC_1,12.79,14.27,13.66,False,0.438,D,0.331,0.881,0.224,0.109,1.0,0.888,13.57,Gestion_Commerce,0.87,0.878,3.57,5,False,0.631,ADMIS,5
129,LYCEE_1ERE,10.82,13.24,9.82,False,-0.499,A,0.476,0.039,0.274,1.0,0.923,0.216,11.29,Lettres,0.597,0.576,1.29,10,False,0.762,REORIENTE,3
130,LYCEE_2ND,10.18,11.28,8.2,True,-0.993,NA,0.877,0.947,0.047,0.762,0.739,1.0,9.89,Droit,0.0,0.909,-2.11,1,False,0.567,ADMIS,4
131,BAC_1,12.6,12.64,12.35,False,-0.128,C,0.49,0.537,0.794,1.0,0.455,0.35,12.53,Communication,0.863,0.937,2.53,11,True,0.636,REORIENTE,2
132,BAC_2,12.36,9.83,6.9,True,-2.735,D,0.064,0.168,0.819,0.269,0.29,1.0,9.7,Lettres,0.659,0.785,-0.3,8,False,0.705,ADMIS,4
133,LYCEE_TLE,18.6,19.0,17.52,False,-0.54,A,0.114,0.657,0.125,0.421,1.0,0.471,18.38,Gestion_Commerce,0.961,0.935,8.38,10,True,0.685,ADMIS,4
134,BAC_1,13.5,13.5,15.14,False,0.82,D,0.54,1.0,0.455,0.017,0.251,0.532,14.05,Informatique,0.858,0.96,2.05,4,True,0.805,ADMIS,4
135,BAC_1,15.28,13.95,14.12,False,-0.579,A,0.963,0.25,0.908,1.0,0.156,0.108,14.45,Lettres,0.841,0.772,4.45,8,True,0.911,ADMIS,4
136,BAC_2,13.52,13.15,13.07,False,-0.227,E,0.109,0.695,0.394,1.0,0.225,0.281,13.25,Communication,0.827,0.829,3.25,6,True,0.823,ADMIS,4
137,BAC_2,12.17,12.58,9.89,False,-1.139,C,0.451,0.285,0.64,0.946,0.378,1.0,11.55,Communication,0.754,0.821,1.55,10,False,0.561,ADMIS,5
138,LYCEE_1ERE,12.88,13.39,16.11,False,1.615,B,1.0,0.501,0.485,0.019,0.762,0.654,14.12,Lettres,0.728,0.606,4.12,2,False,0.63,ADMIS,4
139,BAC_1,12.96,15.41,14.71,False,0.874,C,0.802,0.284,0.864,1.0,0.217,0.057,14.36,Communication,0.88,0.842,4.36,7,False,0.768,ADMIS,4
140,BAC_1,14.38,11.8,18.4,True,2.008,B,1.0,0.212,0.987,0.852,0.269,0.168,14.86,Communication,0.887,0.821,4.86,7,True,0.698,ADMIS,5
141,BAC_1,9.9,11.31,9.67,False,-0.114,D,1.0,0.227,0.496,0.152,0.356,0.729,10.29,Agronomie,0.693,0.869,-0.71,8,False,0.94,ADMIS,4
142,BAC_2,12.75,10.77,11.33,False,-0.713,B,0.654,0.805,1.0,0.125,0.99,0.643,11.61,Lettres,0.754,0.816,1.61,10,False,0.859,ADMIS,3
143,BAC_3,14.94,13.75,14.44,False,-0.253,C,1.0,0.31,0.736,0.098,0.53,0.243,14.37,Agronomie,0.836,0.836,3.37,8,False,0.723,ADMIS,3
144,LYCEE_2ND,12.61,10.85,11.77,False,-0.42,NA,0.968,0.025,0.593,1.0,0.64,0.68,11.74,Gestion_Commerce,0.0,0.757,1.74,2,False,0.19,ADMIS,4
145,LYCEE_1ERE,9.67,12.27,11.28,False,0.804,B,0.494,0.183,0.021,0.056,1.0,0.078,11.07,Lettres,0.425,0.303,1.07,5,False,0.751,ADMIS,5
146,LYCEE_TLE,11.72,13.65,11.93,True,0.105,D,0.212,0.449,0.468,0.4,0.706,1.0,12.43,Gestion_Commerce,0.85,0.921,2.43,9,False,0.761,ADMIS,4
