row_id,niveau,serie,region,ordre,sexe,annee_session,filiere,riasec_top3,riasec_score,note_actuelle,note_n1,note_n2,tendance_notes,score_aspiration,score_realite,score_engagement,score_recommandation,label
a53ac62acf53ef70,BAC_1,D,Plateaux Est,public,F,2023,Génie Électrique,S|R|I,0.607,8.8,9.39,8.85,-1,0.797,0.648,0.868,0.734,0
8f6d3aa769c705a3,BAC_1,D,Maritime,public,F,2023,Biologie,S|R|I,0.470,13.14,12.48,12.68,1,0.561,0.990,0.542,0.773,0
0ea6d94ba0f01894,BAC_1,D,Grand Lomé,privé,F,2023,Histoire,S|R|I,0.627,11.65,11.12,11.89,1,0.620,0.858,0.365,0.701,1
a3350a474c605a3c,BAC_1,D,Plateaux Ouest,privé,F,2023,Enseignement Primaire,S|R|I,0.491,11.0,11.97,9.66,-1,0.465,0.968,0.754,0.760,0
3a44cfb2441fdf40,BAC_1,D,Savanes,privé,F,2024,Biologie,S|R|I,0.490,11.57,11.19,11.66,1,0.422,0.437,0.436,0.432,0
648dc7f0a40d0d65,BAC_1,A,Plateaux Est,public,M,2024,Droit,S|R|I,0.571,9.53,8.69,8.24,1,0.362,0.457,0.705,0.461,1
95e8ce1a476ec271,BAC_1,D,Plateaux Est,public,F,2023,Informatique,S|R|I,0.592,9.94,10.36,8.19,-1,0.696,0.556,0.610,0.613,1
54b46cec712faed0,BAC_1,A,Centrale,public,M,2024,Lettres Modernes,S|R|I,0.504,10.53,10.38,9.97,1,0.509,0.533,0.763,0.559,0
e33ecd9dd3158197,BAC_1,B,Centrale,privé,M,2023,Économie,S|R|I,0.563,11.38,10.06,9.66,1,0.567,0.720,0.306,0.604,1
e7d7cd10e530dd73,BAC_1,D,Kara,privé,F,2024,Géographie,S|R|I,0.487,8.95,8.73,8.37,1,0.434,0.609,0.703,0.562,1
6d460befb3950b1a,BAC_1,A,Grand Lomé,public,M,2023,Droit,S|R|I,0.514,8.41,8.59,7.28,-1,0.607,0.726,0.506,0.651,1
89bf5faa46193f18,BAC_1,D,Kara,public,F,2024,Géographie,S|R|I,0.399,11.65,9.93,10.33,1,0.521,0.186,0.473,0.347,0
222136fce9e2cb07,BAC_1,D,Plateaux Est,public,M,2024,Sciences Infirmières,S|R|I,0.564,13.21,12.58,12.56,1,0.401,0.262,0.556,0.355,0
dd4524f2d03520e9,BAC_1,G2,Maritime,privé,M,2023,Gestion des Entreprises,S|R|I,0.534,10.52,8.51,9.98,1,0.601,0.932,0.714,0.784,0
746f5a3f7fb59737,BAC_1,D,Centrale,public,F,2023,Informatique,S|R|I,0.531,9.32,9.99,9.59,-1,0.490,0.764,0.446,0.620,0
8ddb31c787cb4271,BAC_1,A,Plateaux Est,public,F,2023,Communication et Journalisme,S|R|I,0.519,12.38,12.14,10.82,1,0.351,0.960,0.231,0.638,1
1ad80810042789fa,BAC_1,C,Maritime,public,F,2024,Génie Électrique,S|R|I,0.488,11.81,11.28,9.78,1,0.484,0.893,0.646,0.713,1
fc8a7f635f776412,BAC_1,D,Grand Lomé,public,M,2024,Psychologie,S|R|I,0.455,7.21,6.99,6.13,1,0.334,0.423,0.537,0.409,0
e54efd9d0bb6a4c5,BAC_1,D,Plateaux Est,public,F,2024,Génie Informatique,S|R|I,0.489,10.39,10.45,9.95,-1,0.408,0.319,0.477,0.374,0
48757aa17e8a72cd,BAC_1,D,Grand Lomé,public,M,2023,Génie Informatique,S|R|I,0.534,10.14,9.49,9.83,1,0.443,0.840,0.522,0.654,1
fbe95a7c57de45a2,BAC_1,A,Savanes,public,F,2023,Droit,S|R|I,0.508,7.91,7.66,7.11,1,0.381,0.823,0.289,0.588,0
d68bf4e88861aa07,BAC_1,A,Kara,privé,F,2024,STAPS (Activités Physiques et Sportives),S|R|I,0.579,9.5,10.11,7.76,-1,0.689,0.648,0.503,0.640,1
8c52acc7f16d2015,BAC_1,A,Grand Lomé,public,F,2024,Communication et Journalisme,S|R|I,0.416,7.62,7.63,8.43,-1,0.434,0.527,0.439,0.481,0
9febededaef9d3a3,BAC_1,D,Maritime,public,F,2023,Gestion des Entreprises,S|R|I,0.560,9.76,10.13,9.0,-1,0.469,0.777,0.182,0.580,1
933dca32df47a524,BAC_1,D,Plateaux Ouest,public,F,2023,Histoire,S|R|I,0.447,11.44,11.9,10.16,-1,0.494,0.630,0.565,0.573,1
51f21d3169811866,BAC_1,D,Plateaux Est,privé,F,2024,Finance et Comptabilité,S|R|I,0.590,8.81,8.69,7.15,1,0.482,0.417,0.731,0.487,1
427646bb0baa3dad,BAC_1,D,Grand Lomé,public,F,2024,Sciences Environnementales,S|R|I,0.567,7.68,7.79,8.83,-1,0.662,0.488,0.396,0.535,0
3718dfef76051c13,BAC_1,D,Kara,privé,F,2023,Génie Informatique,S|R|I,0.582,9.86,8.86,8.24,1,0.610,0.780,0.150,0.626,1
0e37c17dadf6f39e,BAC_1,G2,Centrale,privé,F,2024,Sciences Politiques,S|R|I,0.567,9.64,10.23,10.08,-1,0.625,0.714,0.758,0.690,1
279a0d021ddc1931,BAC_1,A,Kara,public,F,2024,Sciences de l'Éducation,S|R|I,0.464,9.44,7.91,7.83,1,0.540,0.434,0.362,0.460,0
c9d5174ffd3cec0e,BAC_1,A,Centrale,privé,F,2024,STAPS (Activités Physiques et Sportives),S|R|I,0.538,13.35,13.61,12.64,-1,0.626,0.439,0.365,0.493,0
2de3fd5aa5fb8183,BAC_1,D,Grand Lomé,privé,F,2023,Histoire,S|R|I,0.430,9.61,9.44,7.79,1,0.505,0.883,0.676,0.720,1
1a55d5c6f6d14ec2,BAC_1,A,Grand Lomé,public,F,2023,Lettres Modernes,S|R|I,0.446,11.3,10.8,10.03,1,0.370,0.823,0.698,0.646,1
948be8d3e7d95b15,BAC_1,D,Grand Lomé,public,F,2024,Odontologie,S|R|I,0.577,11.01,10.76,9.35,1,0.576,0.658,0.443,0.597,0
951d0f6a1eb7c631,BAC_1,D,Kara,privé,F,2024,Génie Électrique,S|R|I,0.516,10.83,10.06,10.48,1,0.522,0.660,0.454,0.581,1
ea1cf9c860f22a87,BAC_1,D,Grand Lomé,public,F,2024,Sciences Infirmières,S|R|I,0.622,13.42,14.29,13.43,-1,0.746,0.397,0.264,0.499,1
d3cb68848972158f,BAC_1,G3,Grand Lomé,privé,M,2024,Finance et Comptabilité,S|R|I,0.454,15.33,14.8,15.02,1,0.558,0.501,0.116,0.464,1
87e2bffc5fec198c,BAC_1,D,Grand Lomé,public,M,2023,Sciences Environnementales,S|R|I,0.445,9.17,9.72,7.81,-1,0.499,0.838,0.588,0.682,0
a7b7ab937126de81,BAC_1,A,Maritime,public,F,2023,Communication et Journalisme,S|R|I,0.453,12.48,11.51,12.51,1,0.548,0.875,0.479,0.701,1
b15a26e7468af691,BAC_1,A,Maritime,privé,M,2024,Arts Plastiques,S|R|I,0.556,10.77,10.2,10.48,1,0.430,0.580,0.420,0.504,0
db1a594157696ac5,BAC_1,A,Centrale,public,M,2023,STAPS (Activités Physiques et Sportives),S|R|I,0.532,12.76,12.39,12.29,1,0.605,0.779,0.635,0.696,1
bf40935bcc5c98d2,BAC_1,D,Grand Lomé,privé,F,2023,Gestion des Entreprises,S|R|I,0.483,12.14,12.37,11.79,-1,0.359,0.969,0.659,0.709,1
b47230b7acdf2b0b,BAC_1,D,Kara,privé,M,2024,Médecine,S|R|I,0.480,12.99,12.98,11.54,1,0.590,0.569,0.673,0.592,0
681b02a61bf33088,BAC_1,A,Maritime,public,M,2023,Enseignement Primaire,S|R|I,0.555,7.93,8.3,7.03,-1,0.552,0.882,0.326,0.683,1
8cfb5b35e35251ae,BAC_1,D,Grand Lomé,public,F,2023,Sciences Infirmières,S|R|I,0.575,15.57,14.08,13.2,1,0.629,0.826,0.363,0.687,1
5d1518f595b01f22,BAC_1,A,Centrale,privé,M,2024,Enseignement Primaire,S|R|I,0.555,13.86,13.36,12.29,1,0.549,0.678,0.517,0.609,1
79e7ac7b4704cf66,BAC_1,D,Plateaux Ouest,public,M,2023,Sociologie,S|R|I,0.458,13.49,13.41,13.09,1,0.534,0.586,0.709,0.586,1
c3c49b2129fbbc5d,BAC_1,A,Maritime,public,F,2023,Sociologie,S|R|I,0.522,9.94,10.8,10.06,-1,0.606,0.879,0.507,0.728,0
74baa72a201c9fea,BAC_1,D,Grand Lomé,public,F,2023,Biologie,S|R|I,0.498,8.38,8.1,8.55,1,0.459,0.948,0.518,0.713,0
76982631687584a8,BAC_1,D,Maritime,public,F,2024,Sciences Infirmières,S|R|I,0.520,12.69,12.49,11.36,1,0.420,0.283,0.473,0.359,0
e6d246a3a2cd4a6a,BAC_1,D,Maritime,privé,F,2024,Informatique,S|R|I,0.607,8.84,7.9,8.77,1,0.704,0.563,0.749,0.640,1
78e8c0377d1c4761,BAC_1,A,Savanes,public,F,2023,Géographie,S|R|I,0.476,7.88,7.07,8.23,1,0.514,0.917,0.269,0.679,0
c411b40219dc90dc,BAC_1,D,Grand Lomé,public,F,2024,Informatique,S|R|I,0.471,10.77,10.23,11.34,1,0.525,0.259,0.257,0.351,0
a698d1c90b205c4e,BAC_1,D,Plateaux Est,privé,M,2024,Gestion des Entreprises,S|R|I,0.407,11.75,10.22,11.53,1,0.494,0.425,0.412,0.447,0
b23201a38dddaf5b,BAC_1,D,Plateaux Ouest,public,F,2024,Physique-Chimie,S|R|I,0.504,9.72,8.91,8.91,1,0.472,0.386,0.330,0.408,0
beaef9595eab3bee,BAC_1,A,Plateaux Est,privé,F,2023,Communication et Journalisme,S|R|I,0.455,11.88,10.57,10.85,1,0.384,0.990,0.511,0.706,0
ee1eef1c5aeb110e,BAC_1,A,Grand Lomé,public,M,2023,Géographie,S|R|I,0.407,10.23,9.08,8.67,1,0.401,0.729,0.447,0.572,0
24aa613d230a4c22,BAC_1,D,Centrale,public,F,2024,Histoire,S|R|I,0.521,10.69,9.89,10.25,1,0.542,0.243,0.290,0.354,0
7433be10bc92caef,BAC_1,G3,Grand Lomé,privé,M,2024,Sciences Infirmières,S|R|I,0.574,10.4,11.1,10.6,-1,0.639,0.565,0.654,0.604,0
4fd778d13d43dedd,BAC_1,D,Maritime,privé,F,2023,Sciences Infirmières,S|R|I,0.604,10.94,11.05,10.06,-1,0.703,0.990,0.399,0.801,1
73338c29449df8a9,BAC_1,D,Plateaux Ouest,public,F,2023,Agronomie,S|R|I,0.528,11.71,11.47,12.38,1,0.502,0.668,0.455,0.578,0
095035c2aa826b71,BAC_1,D,Plateaux Est,public,M,2024,Génie Informatique,S|R|I,0.462,12.17,11.88,11.05,1,0.664,0.242,0.547,0.436,0
66a43b5fcee06791,BAC_1,D,Maritime,public,F,2023,Informatique,S|R|I,0.449,10.82,9.89,10.08,1,0.469,0.731,0.302,0.575,1
daf174e1d369caac,BAC_1,D,Grand Lomé,public,M,2024,Histoire,S|R|I,0.449,8.87,8.73,8.85,1,0.483,0.495,0.658,0.515,0
ef55842f792fde2c,BAC_1,D,Plateaux Ouest,public,F,2023,Pharmacie,S|R|I,0.467,14.81,13.77,14.91,1,0.586,0.581,0.616,0.588,0
cc5a4024e271b830,BAC_1,D,Maritime,public,M,2023,Sociologie,S|R|I,0.523,9.5,10.09,7.67,-1,0.560,0.793,0.477,0.664,0
84ac951f5a601a44,BAC_1,A,Plateaux Est,privé,M,2024,Sciences Politiques,S|R|I,0.492,7.82,6.75,7.54,1,0.375,0.438,0.720,0.458,0
818e934061bba835,BAC_1,D,Maritime,public,F,2023,Génie Mécanique,S|R|I,0.541,12.74,13.19,11.25,-1,0.490,0.792,0.505,0.643,0
ceecbbc24e56fa09,BAC_1,A,Grand Lomé,privé,F,2023,Sciences de l'Éducation,S|R|I,0.454,15.86,15.15,14.56,1,0.408,0.800,0.598,0.632,1
daff4ca520e59b6a,BAC_1,D,Grand Lomé,public,F,2023,Finance et Comptabilité,S|R|I,0.546,8.07,8.7,6.3,-1,0.786,0.796,0.716,0.780,0
e94d4d7fd766f190,BAC_1,A,Plateaux Est,public,F,2023,Enseignement Primaire,S|R|I,0.423,8.0,7.41,7.45,1,0.460,0.897,0.932,0.749,0
7adeae9ea33092b8,BAC_1,D,Grand Lomé,public,M,2024,Finance et Comptabilité,S|R|I,0.650,11.54,11.66,9.9,-1,0.478,0.358,0.369,0.402,0
30cb05e89a428937,BAC_1,A,Grand Lomé,public,F,2023,Sciences de l'Éducation,S|R|I,0.511,8.05,8.25,6.19,-1,0.611,0.793,0.571,0.696,1
49ff785cd8cc152a,BAC_1,A,Grand Lomé,public,M,2024,Communication et Journalisme,S|R|I,0.521,10.03,8.34,9.9,1,0.496,0.675,0.672,0.612,1
eeca093f6b88a10a,BAC_1,A,Savanes,privé,M,2024,Tourisme et Hôtellerie,S|R|I,0.510,10.18,9.43,11.19,1,0.482,0.752,0.472,0.616,1
e3b91ce22111f0ed,BAC_1,D,Plateaux Ouest,public,F,2024,Informatique,S|R|I,0.609,11.2,11.13,10.52,1,0.489,0.375,0.570,0.444,0
72717c93d3be24d9,BAC_1,A,Savanes,public,F,2023,STAPS (Activités Physiques et Sportives),S|R|I,0.625,8.71,8.17,8.86,1,0.668,0.730,0.439,0.664,1
0b36531fbc771364,BAC_1,A,Maritime,public,F,2024,Psychologie,S|R|I,0.540,8.2,7.85,6.66,1,0.447,0.739,0.324,0.575,0
a2fa03fe312985bd,BAC_1,G3,Plateaux Ouest,public,M,2024,Finance et Comptabilité,S|R|I,0.626,11.68,12.25,9.82,-1,0.714,0.525,0.724,0.621,1
81fd80e6335b3abd,BAC_1,D,Centrale,privé,F,2024,Géographie,S|R|I,0.495,11.36,11.2,10.97,1,0.517,0.390,0.215,0.409,0
2fc8e69498461ddb,BAC_1,D,Plateaux Est,public,M,2024,Génie Informatique,S|R|I,0.478,15.43,14.42,15.02,1,0.366,0.223,0.400,0.299,1
cffd873df628d5d0,BAC_1,D,Maritime,public,M,2024,Génie Informatique,S|R|I,0.464,10.01,9.08,8.76,1,0.400,0.305,0.430,0.357,0
051e514a0d13d035,BAC_1,D,Grand Lomé,public,M,2023,Psychologie,S|R|I,0.510,13.03,13.44,13.57,-1,0.447,0.840,0.734,0.687,0
fb2b0c063fc38cbd,BAC_1,D,Plateaux Est,privé,M,2023,Génie Civil,S|R|I,0.574,11.27,10.68,13.37,1,0.531,0.720,0.464,0.616,1
33d286900188b7d1,BAC_1,A,Maritime,privé,F,2024,Droit,S|R|I,0.476,8.88,8.57,8.58,1,0.524,0.735,0.732,0.661,0
36be3114c7f65bfc,BAC_1,D,Maritime,public,F,2024,Sociologie,S|R|I,0.446,10.82,10.87,9.91,-1,0.358,0.539,0.273,0.436,1
b88a2771fba12cb3,BAC_1,D,Grand Lomé,public,F,2023,Psychologie,S|R|I,0.425,13.92,12.94,13.49,1,0.521,0.793,0.488,0.652,1
50bd60c7bb1ab6cf,BAC_1,D,Plateaux Est,privé,M,2024,Psychologie,S|R|I,0.579,7.64,6.65,5.96,1,0.680,0.404,0.804,0.560,0
003b67382fbaebd7,BAC_1,A,Plateaux Ouest,public,F,2024,Psychologie,S|R|I,0.482,11.15,10.14,9.56,1,0.455,0.581,0.474,0.521,0
02385b78f49853d6,BAC_1,D,Grand Lomé,privé,M,2024,Informatique,S|R|I,0.528,10.84,10.47,8.95,1,0.609,0.664,0.403,0.605,0
53d8487e4b7a31fe,BAC_1,D,Kara,public,M,2023,Gestion des Entreprises,S|R|I,0.485,7.38,6.88,6.8,1,0.439,0.650,0.619,0.572,1
7ee8870f9feb7423,BAC_1,A,Centrale,public,F,2023,Tourisme et Hôtellerie,S|R|I,0.528,11.48,10.85,11.98,1,0.533,0.823,0.189,0.626,0
8b93f73c604f3a54,BAC_1,D,Savanes,privé,M,2023,Géographie,S|R|I,0.450,9.32,9.88,8.35,-1,0.611,0.990,0.228,0.743,0
27b4a9753e817aa4,BAC_1,D,Plateaux Est,privé,F,2024,Psychologie,S|R|I,0.463,10.77,9.87,9.73,1,0.573,0.629,0.382,0.572,0
5deee1571f935f3a,BAC_1,D,Plateaux Est,public,F,2024,Génie Électrique,S|R|I,0.493,7.8,6.24,7.43,1,0.505,0.153,0.212,0.285,0
ffbf3b29da0e6f1c,BAC_1,D,Grand Lomé,public,F,2023,Sciences Forestières,S|R|I,0.337,10.69,10.83,10.01,-1,0.314,0.883,0.697,0.656,1
6a509ffd47759808,BAC_1,A,Grand Lomé,public,F,2024,Sciences de l'Éducation,S|R|I,0.560,9.85,8.38,8.99,1,0.545,0.590,0.352,0.539,0
b775ba1817e7bd82,BAC_1,A,Grand Lomé,public,M,2023,Communication et Journalisme,S|R|I,0.521,9.82,9.02,10.24,1,0.629,0.990,0.388,0.773,1
dab2a0287471cd16,BAC_1,D,Grand Lomé,privé,M,2023,Sociologie,S|R|I,0.413,10.58,9.56,10.33,1,0.298,0.859,0.522,0.612,1
8bd4862b1963e618,BAC_1,D,Plateaux Est,public,M,2023,Géographie,S|R|I,0.515,8.88,8.45,6.89,1,0.514,0.666,0.668,0.613,0
08ece2230f6f5efe,BAC_1,A,Maritime,public,F,2024,Lettres Modernes,S|R|I,0.512,9.88,9.02,9.45,1,0.499,0.594,0.428,0.536,0
81ea83713ee83876,BAC_1,D,Centrale,privé,M,2024,Sciences Forestières,S|R|I,0.448,10.92,12.11,9.91,-1,0.459,0.407,0.474,0.435,1
2bff04e699ff37f4,BAC_1,D,Grand Lomé,privé,F,2023,Génie Informatique,S|R|I,0.434,8.14,7.48,8.33,1,0.408,0.934,0.567,0.695,0
699c81715a8e3307,BAC_1,D,Grand Lomé,privé,F,2023,Médecine,S|R|I,0.575,10.19,8.97,8.97,1,0.576,0.990,0.570,0.782,1
6ebda6ab902a8b75,BAC_1,A,Maritime,public,M,2024,Anglais,S|R|I,0.540,10.55,10.3,9.65,1,0.513,0.468,0.563,0.498,1
328cf9d172578305,BAC_1,D,Maritime,public,F,2024,Sciences de l'Éducation,S|R|I,0.495,10.02,8.83,10.09,1,0.481,0.424,0.650,0.478,1
c3f39de89a89fe08,BAC_1,A,Grand Lomé,public,M,2023,Psychologie,S|R|I,0.475,8.84,8.02,8.31,1,0.397,0.933,0.303,0.651,0
12080dc2c53b3926,BAC_1,A,Plateaux Ouest,public,M,2024,Sciences Politiques,S|R|I,0.556,9.06,9.13,8.34,-1,0.663,0.344,0.990,0.552,0
562bd67f6842e2df,BAC_1,D,Centrale,privé,M,2023,Gestion des Entreprises,S|R|I,0.541,9.87,8.85,8.92,1,0.503,0.725,0.190,0.567,0
3718134e97a0ba7b,BAC_1,A,Savanes,public,F,2023,Psychologie,S|R|I,0.534,13.8,12.85,12.99,1,0.503,0.837,0.407,0.656,1
3123626bb662985f,BAC_1,D,Savanes,privé,F,2023,Médecine,S|R|I,0.523,12.66,12.04,12.58,1,0.502,0.990,0.404,0.731,0
d8b8d6559b86386e,BAC_1,D,Grand Lomé,privé,F,2023,Physique-Chimie,S|R|I,0.510,11.9,10.62,10.83,1,0.661,0.849,0.579,0.743,1
5478a4bfe7c2642b,BAC_1,D,Maritime,public,M,2023,Génie Civil,S|R|I,0.516,11.81,11.46,11.46,1,0.651,0.951,0.545,0.785,1
15fef3790c88d475,BAC_1,A,Plateaux Ouest,public,F,2023,Lettres Modernes,S|R|I,0.461,9.87,10.65,9.61,-1,0.546,0.947,0.467,0.735,1
e4077dc7b4490122,BAC_1,D,Maritime,public,M,2024,Enseignement Primaire,S|R|I,0.481,7.82,6.66,7.02,1,0.377,0.439,0.487,0.424,0
2c0aca58f8aa2f33,BAC_1,D,Maritime,public,M,2023,Gestion des Entreprises,S|R|I,0.603,14.24,13.15,13.89,1,0.636,0.573,0.667,0.609,1
9ddbfce88932ccd6,BAC_1,A,Plateaux Ouest,public,F,2024,Sociologie,S|R|I,0.482,11.62,12.1,11.2,-1,0.351,0.364,0.484,0.378,0
eb14e29a298c3ab0,BAC_1,D,Plateaux Est,public,F,2024,Histoire,S|R|I,0.531,10.53,9.47,10.11,1,0.702,0.319,0.687,0.508,0
f60029a03f2dd2db,BAC_1,D,Centrale,privé,M,2023,Finance et Comptabilité,S|R|I,0.542,8.63,9.22,7.67,-1,0.472,0.870,0.751,0.713,0
13da886ae7e97d76,BAC_1,D,Grand Lomé,public,M,2024,Histoire,S|R|I,0.524,9.84,9.66,9.01,1,0.613,0.750,0.698,0.694,0
5a5b81533333713d,BAC_1,A,Maritime,public,M,2024,Sciences de l'Éducation,S|R|I,0.485,9.07,7.43,7.48,1,0.590,0.479,0.241,0.482,0
0a5f68e90bb9e489,BAC_1,A,Savanes,public,M,2024,Anglais,S|R|I,0.451,9.9,10.46,10.5,-1,0.504,0.357,0.455,0.423,1
4bd42fe48e1d5492,BAC_1,A,Savanes,public,F,2024,Communication et Journalisme,S|R|I,0.626,12.26,12.71,12.79,-1,0.573,0.471,0.762,0.550,1
3af87b376c6c34b1,BAC_1,A,Plateaux Ouest,public,M,2023,Psychologie,S|R|I,0.476,11.31,11.39,10.66,-1,0.470,0.864,0.417,0.659,1
66fefc2039bb4e70,BAC_1,A,Kara,public,M,2024,Sciences de l'Éducation,S|R|I,0.501,12.32,11.31,11.57,1,0.421,0.638,0.370,0.522,0
a880660d3474403a,BAC_1,A,Kara,privé,M,2023,Histoire,S|R|I,0.418,6.76,7.65,5.96,-1,0.502,0.765,0.285,0.601,0
60e77399b606fc99,BAC_1,A,Plateaux Est,privé,M,2024,Lettres Modernes,S|R|I,0.540,14.22,14.43,14.63,-1,0.674,0.500,0.764,0.600,0
684d1b63cbbb5ea8,BAC_1,A,Plateaux Est,privé,M,2024,Arts Plastiques,S|R|I,0.460,10.44,10.02,10.48,1,0.448,0.447,0.429,0.444,0
63b42d41cf1e83dd,BAC_1,A,Grand Lomé,public,M,2023,Lettres Modernes,S|R|I,0.531,11.24,10.13,9.65,1,0.622,0.656,0.599,0.635,1
076b56ad431517eb,BAC_1,D,Plateaux Ouest,public,F,2024,Sociologie,S|R|I,0.413,10.54,10.34,10.03,1,0.526,0.416,0.291,0.436,0
c9ed1d5c45f118da,BAC_1,D,Kara,privé,F,2023,Génie Informatique,S|R|I,0.479,13.16,13.29,12.24,-1,0.336,0.913,0.371,0.630,1
1127cce87d021181,BAC_1,D,Plateaux Est,privé,M,2023,Informatique,S|R|I,0.523,12.13,12.02,12.03,1,0.599,0.759,0.420,0.652,1
005a2675cba3d0a7,BAC_1,D,Maritime,public,M,2023,Sciences de l'Éducation,S|R|I,0.593,15.08,14.58,15.4,1,0.546,0.798,0.737,0.701,1
f48f55eee08a8d65,BAC_1,A,Plateaux Ouest,privé,F,2024,Sciences de l'Éducation,S|R|I,0.458,10.14,8.96,9.68,1,0.463,0.581,0.325,0.502,1
14ceda4c726a23f4,BAC_1,A,Grand Lomé,public,M,2024,Arts Plastiques,S|R|I,0.455,11.44,11.07,10.79,1,0.313,0.636,0.491,0.501,0
bfc846fadba2c093,BAC_1,A,Plateaux Ouest,public,M,2024,Arts Plastiques,S|R|I,0.498,10.52,10.77,9.28,-1,0.448,0.492,0.447,0.470,0
fe7de25bd744b5b0,BAC_1,A,Plateaux Est,public,F,2023,Anglais,S|R|I,0.579,10.67,9.6,8.35,1,0.673,0.780,0.728,0.734,0
fafdd5188ff9905a,BAC_1,A,Plateaux Est,public,F,2024,STAPS (Activités Physiques et Sportives),S|R|I,0.620,12.3,12.14,10.27,1,0.747,0.408,0.745,0.577,0
1e7c303820cabe79,BAC_1,D,Plateaux Ouest,public,M,2024,Génie Informatique,S|R|I,0.567,10.55,10.12,11.74,1,0.632,0.331,0.705,0.492,0
e96b80b50905fa6b,BAC_1,D,Grand Lomé,public,F,2024,Génie Électrique,S|R|I,0.506,10.99,11.22,10.57,-1,0.550,0.492,0.591,0.527,0
bd81c69abfaa4a2d,BAC_1,D,Savanes,privé,M,2023,Sciences de l'Éducation,S|R|I,0.533,8.89,9.27,6.31,-1,0.821,0.990,0.700,0.887,0
0c2b7c4fd4647eda,BAC_1,D,Plateaux Ouest,privé,M,2024,Physique-Chimie,S|R|I,0.583,9.57,8.81,9.79,1,0.618,0.343,0.407,0.449,0
9495c05f0bef98a9,BAC_1,D,Centrale,privé,F,2024,Informatique,S|R|I,0.636,8.99,7.07,7.32,1,0.643,0.578,0.626,0.608,1
18b273724b2847dd,BAC_1,A,Maritime,privé,M,2024,Anglais,S|R|I,0.537,11.91,12.74,11.52,-1,0.495,0.640,0.246,0.530,1
c01697e7e5822ae3,BAC_1,A,Maritime,privé,M,2023,Communication et Journalisme,S|R|I,0.454,7.9,7.98,6.51,-1,0.336,0.990,0.703,0.718,0
c79e5b16a03a6951,BAC_1,A,Grand Lomé,privé,M,2024,Arts Plastiques,S|R|I,0.363,5.66,6.77,5.28,-1,0.361,0.622,0.367,0.492,1
afadbe8ee150f437,BAC_1,A,Plateaux Ouest,privé,M,2024,Communication et Journalisme,S|R|I,0.477,10.18,9.25,10.19,1,0.529,0.643,0.661,0.606,0
4ae4468fcd30bda0,BAC_1,A,Plateaux Est,privé,M,2024,Sciences de l'Éducation,S|R|I,0.576,7.58,6.72,7.13,1,0.597,0.616,0.560,0.601,0
